Municipio,Estacion,Mes_Numero,Mes,Promedio_Par,Maximo_Par,Minimo_Par,Desviacion_Par,Mediana_Par,Rango_Par,Año
RIVERA,ESTACION RIVERA,3,MARZO,742.2392564,2000,2.47,608.5974124,688.64,1997.53,2017
RIVERA,ESTACION RIVERA,4,ABRIL,676.0287434,2000,2.47,586.8615545,513.39,1997.53,2017
RIVERA,ESTACION RIVERA,5,MAYO,636.7086255,2000,2.47,541.2977552,505.99,1997.53,2017
RIVERA,ESTACION RIVERA,6,JUNIO,646.7496512,2000,2.47,524.0241234,538.07,1997.53,2017
RIVERA,ESTACION RIVERA,7,JULIO,706.9373356,2000,2.47,574.1952623,594.84,1997.53,2017
RIVERA,ESTACION RIVERA,8,AGOSTO,772.4685617,2000,2.47,616.2461072,646.68,1997.53,2017
RIVERA,ESTACION RIVERA,9,SEPTIEMBRE,720.6175232,2000,2.47,602.7600865,562.76,1997.53,2017
RIVERA,ESTACION RIVERA,10,OCTUBRE,620.7758286,2000,2.47,578.8470296,459.09,1997.53,2017
RIVERA,ESTACION RIVERA,11,NOVIEMBRE,662.0697814,2000,2.47,603.8107449,459.09,1997.53,2017
RIVERA,ESTACION RIVERA,12,DICIEMBRE,661.889442,2000,2.47,627.4528479,436.88,1997.53,2017
RIVERA,ESTACION RIVERA,1,ENERO,434.4920411,1991.86,2.47,387.4799026,311,1989.39,2018
RIVERA,ESTACION RIVERA,2,FEBRERO,736.1351183,2000,2.47,646.6026374,575.1,1997.53,2018
RIVERA,ESTACION RIVERA,3,MARZO,695.7413235,2000,2.47,589.8610896,550.42,1997.53,2018
RIVERA,CORHUILA,3,MARZO,914.5942062,2000,2.47,721.729541,846.6,1997.53,2017
RIVERA,CORHUILA,4,ABRIL,840.3301131,2000,2.47,645.69515,747.87,1997.53,2017
RIVERA,CORHUILA,5,MAYO,870.6006084,2000,2.47,640.6020993,752.81,1997.53,2017
RIVERA,CORHUILA,6,JUNIO,839.8386532,2000,2.47,605.1620401,779.96,1997.53,2017
RIVERA,CORHUILA,7,JULIO,869.8973959,2000,2.47,653.614663,745.41,1997.53,2017
RIVERA,CORHUILA,8,AGOSTO,893.1826364,2000,2.47,645.6215014,787.37,1997.53,2017
RIVERA,CORHUILA,9,SEPTIEMBRE,896.1220182,2000,2.47,641.4100531,792.3,1997.53,2017
RIVERA,CORHUILA,10,OCTUBRE,796.0130427,2000,2.47,618.8927492,673.83,1997.53,2017
RIVERA,CORHUILA,11,NOVIEMBRE,878.7794176,2000,2.47,649.5566642,770.09,1997.53,2017
RIVERA,CORHUILA,12,DICIEMBRE,886.6324074,2000,2.47,660.4972966,775.02,1997.53,2017
RIVERA,CORHUILA,1,ENERO,833.9935776,2000,2.47,611.2637853,738,1997.53,2018
RIVERA,CORHUILA,2,FEBRERO,858.0652835,2000,2.47,651.4053489,755.28,1997.53,2018
RIVERA,CORHUILA,3,MARZO,836.2128545,2000,2.47,653.4838713,681.23,1997.53,2018
VILLAVIEJA,ESTACION VILLAVIEJA,3,MARZO,917.9202067,2000,2.47,683.051992,765.15,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,4,ABRIL,886.2670169,2000,2.47,658.8676821,735.53,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,5,MAYO,944.3044701,2000,2.47,687.0724166,841.67,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,6,JUNIO,886.8848744,2000,2.47,654.5024969,782.43,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,7,JULIO,869.0072581,2000,2.47,654.9387513,740.47,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,8,AGOSTO,927.2912846,2000,2.47,667.1647142,829.33,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,9,SEPTIEMBRE,1017.555179,2000,2.47,656.2712946,962.61,1997.53,2017
VILLAVIEJA,ESTACION VILLAVIEJA,10,OCTUBRE,2.47,2.47,2.47,0,2.47,0,2017
VILLAVIEJA,ESTACION VILLAVIEJA,11,NOVIEMBRE,2.483034301,4.94,2.47,0.179191383,2.47,2.47,2017
VILLAVIEJA,ESTACION VILLAVIEJA,12,DICIEMBRE,2.47,2.47,2.47,0,2.47,0,2017
VILLAVIEJA,ESTACION VILLAVIEJA,1,ENERO,2.478288591,4.94,2.47,0.143083258,2.47,2.47,2018
VILLAVIEJA,ESTACION VILLAVIEJA,2,FEBRERO,2.47,2.47,2.47,0,2.47,0,2018
VILLAVIEJA,ESTACION VILLAVIEJA,3,MARZO,2.47,2.47,2.47,0,2.47,0,2018
PALESTINA,ESTACION PALESTINA,3,MARZO,602.2418408,2000,2.47,531.806019,456.62,1997.53,2017
PALESTINA,ESTACION PALESTINA,4,ABRIL,763.7003114,2000,2.47,610.1713013,621.99,1997.53,2017
PALESTINA,ESTACION PALESTINA,5,MAYO,708.0826627,2000,2.47,565.2520044,570.16,1997.53,2017
PALESTINA,ESTACION PALESTINA,6,JUNIO,750.4893163,2000,2.47,597.2169731,634.34,1997.53,2017
PALESTINA,ESTACION PALESTINA,7,JULIO,565.4393652,2000,2.47,474.7693574,459.09,1997.53,2017
PALESTINA,ESTACION PALESTINA,8,AGOSTO,769.4220731,2000,2.47,611.4162513,624.46,1997.53,2017
PALESTINA,ESTACION PALESTINA,9,SEPTIEMBRE,808.2410997,2000,2.47,620.4688344,691.1,1997.53,2017
PALESTINA,ESTACION PALESTINA,10,OCTUBRE,679.4529202,2000,2.47,561.0910379,538.07,1997.53,2017
PALESTINA,ESTACION PALESTINA,11,NOVIEMBRE,647.9095617,2000,2.47,561.5072258,498.58,1997.53,2017
PALESTINA,ESTACION PALESTINA,12,DICIEMBRE,717.659036,2000,2.47,619.9686221,552.88,1997.53,2017
PALESTINA,ESTACION PALESTINA,1,ENERO,632.1222206,2000,2.47,539.358774,483.77,1997.53,2018
PALESTINA,ESTACION PALESTINA,2,FEBRERO,580.8611711,2000,2.47,535.3473608,422.07,1997.53,2018
PALESTINA,ESTACION PALESTINA,3,MARZO,624.6701551,2000,2.47,565.1573546,429.47,1997.53,2018
ISNOS,ESTACION ISNOS,3,MARZO,754.7124049,2000,2.47,630.0612873,604.72,1997.53,2017
ISNOS,ESTACION ISNOS,4,ABRIL,729.3006305,2000,2.47,591.0092069,602.25,1997.53,2017
ISNOS,ESTACION ISNOS,5,MAYO,738.5288588,2000,2.47,583.0054732,597.31,1997.53,2017
ISNOS,ESTACION ISNOS,6,JUNIO,716.1510247,2000,2.47,585.2194925,580.03,1997.53,2017
ISNOS,ESTACION ISNOS,7,JULIO,550.3171494,2000,2.47,476.3649411,427,1997.53,2017
ISNOS,ESTACION ISNOS,8,AGOSTO,746.5795266,2000,2.47,592.0078296,609.65,1997.53,2017
ISNOS,ESTACION ISNOS,9,SEPTIEMBRE,830.0556033,2000,2.47,645.0433523,700.98,1997.53,2017
ISNOS,ESTACION ISNOS,10,OCTUBRE,688.2825614,2000,2.47,571.5708132,535.61,1997.53,2017
ISNOS,ESTACION ISNOS,11,NOVIEMBRE,718.140586,2000,2.47,599.3714682,565.22,1997.53,2017
