Municipio,Estacion,Mes_Numero,Mes,Promedio_Solar,Maximo_Solar,Minimo_Solar,Desviacion_Solar,Mediana_Solar,Rango_Solar,Año
RIVERA,ESTACION RIVERA,3,MARZO,397.2972745,1800,2.96,324.3351815,328.11,1797.04,2017
RIVERA,ESTACION RIVERA,4,ABRIL,337.7279928,1427.73,2.96,289.5425829,266.04,1424.77,2017
RIVERA,ESTACION RIVERA,5,MAYO,298.0205264,1339.05,2.96,256.1983623,236.48,1336.09,2017
RIVERA,ESTACION RIVERA,6,JUNIO,297.5847673,1247.42,2.96,240.6693714,248.3,1244.46,2017
RIVERA,ESTACION RIVERA,7,JULIO,319.5724393,1404.08,2.96,263.476159,266.04,1401.12,2017
RIVERA,ESTACION RIVERA,8,AGOSTO,354.6542889,1389.3,2.96,294.0031212,289.68,1386.34,2017
RIVERA,ESTACION RIVERA,9,SEPTIEMBRE,338.5749273,1415.91,2.96,292.7867686,260.12,1412.95,2017
RIVERA,ESTACION RIVERA,10,OCTUBRE,293.7136428,1395.22,2.96,281.712111,212.83,1392.26,2017
RIVERA,ESTACION RIVERA,11,NOVIEMBRE,308.6089007,1392.26,2.96,292.2025238,206.92,1389.3,2017
RIVERA,ESTACION RIVERA,12,DICIEMBRE,316.6152467,1294.71,2.96,302.4557468,201.01,1291.75,2017
RIVERA,ESTACION RIVERA,1,ENERO,198.0729063,931.13,2.96,173.3010038,171.445,928.17,2018
RIVERA,ESTACION RIVERA,2,FEBRERO,352.7401566,1214.9,2.96,302.5163571,274.9,1211.94,2018
RIVERA,ESTACION RIVERA,3,MARZO,322.5966126,1344.96,2.96,281.9411606,248.3,1342,2018
RIVERA,CORHUILA,3,MARZO,481.1046064,1492.76,2.96,402.0619295,393.14,1489.8,2017
RIVERA,CORHUILA,4,ABRIL,407.8347349,1492.76,2.96,336.3227521,336.98,1489.8,2017
RIVERA,CORHUILA,5,MAYO,410.6691279,1554.84,2.96,312.972093,342.89,1551.88,2017
RIVERA,CORHUILA,6,JUNIO,399.8382327,1418.86,2.96,297.5157273,360.63,1415.9,2017
RIVERA,CORHUILA,7,JULIO,419.4181456,1495.72,2.96,322.6412083,348.8,1492.76,2017
RIVERA,CORHUILA,8,AGOSTO,429.3044675,1436.6,2.96,319.7190449,366.54,1433.64,2017
RIVERA,CORHUILA,9,SEPTIEMBRE,431.7801381,1466.16,2.96,322.0991862,369.5,1463.2,2017
RIVERA,CORHUILA,10,OCTUBRE,374.9267596,1543.01,2.96,304.6704963,307.42,1540.05,2017
RIVERA,CORHUILA,11,NOVIEMBRE,403.0967484,1460.25,2.96,308.9666748,342.89,1457.29,2017
RIVERA,CORHUILA,12,DICIEMBRE,399.9368809,1306.54,2.96,305.8070337,339.94,1303.58,2017
RIVERA,CORHUILA,1,ENERO,387.3538181,1442.51,2.96,292.4415036,336.98,1439.55,2018
RIVERA,CORHUILA,2,FEBRERO,395.9010632,1344.96,2.96,303.3149344,345.85,1342,2018
RIVERA,CORHUILA,3,MARZO,389.9386784,1365.66,2.96,317.2468773,307.42,1362.7,2018
VILLAVIEJA,ESTACION VILLAVIEJA,3,MARZO,432.2093524,1486.85,2.96,335.8605143,345.85,1483.89,2017
VILLAVIEJA,ESTACION VILLAVIEJA,4,ABRIL,413.2807904,1451.38,2.96,313.2160641,336.98,1448.42,2017
VILLAVIEJA,ESTACION VILLAVIEJA,5,MAYO,436.0926444,1276.98,2.96,321.3151833,381.32,1274.02,2017
VILLAVIEJA,ESTACION VILLAVIEJA,6,JUNIO,407.391677,1350.88,2.96,301.8631233,354.72,1347.92,2017
VILLAVIEJA,ESTACION VILLAVIEJA,7,JULIO,404.160702,1344.96,2.96,305.3002318,342.89,1342,2017
VILLAVIEJA,ESTACION VILLAVIEJA,8,AGOSTO,432.6047818,1383.39,2.96,316.8948089,378.36,1380.43,2017
VILLAVIEJA,ESTACION VILLAVIEJA,9,SEPTIEMBRE,468.9680135,1475.03,2.96,318.8813406,428.61,1472.07,2017
VILLAVIEJA,ESTACION VILLAVIEJA,10,OCTUBRE,416.1434594,1407.04,2.96,309.5494893,372.45,1404.08,2017
VILLAVIEJA,ESTACION VILLAVIEJA,11,NOVIEMBRE,433.8930612,1297.67,2.96,316.8969845,384.28,1294.71,2017
VILLAVIEJA,ESTACION VILLAVIEJA,12,DICIEMBRE,448.6850205,1229.68,2.96,305.2841951,443.39,1226.72,2017
VILLAVIEJA,ESTACION VILLAVIEJA,1,ENERO,409.4699628,1365.66,2.96,299.9907779,360.63,1362.7,2018
VILLAVIEJA,ESTACION VILLAVIEJA,2,FEBRERO,396.5845171,1276.98,2.96,304.2239201,334.02,1274.02,2018
VILLAVIEJA,ESTACION VILLAVIEJA,3,MARZO,466.8287277,1344.96,2.96,321.0521345,440.44,1342,2018
PALESTINA,ESTACION PALESTINA,3,MARZO,283.5602193,1401.13,2.96,262.1889359,209.87,1398.17,2017
PALESTINA,ESTACION PALESTINA,4,ABRIL,364.1308628,1501.63,2.96,306.2158614,286.73,1498.67,2017
PALESTINA,ESTACION PALESTINA,5,MAYO,325.6551885,1392.26,2.96,272.2742327,257.17,1389.3,2017
PALESTINA,ESTACION PALESTINA,6,JUNIO,348.9271625,1404.08,2.96,288.5368228,286.73,1401.12,2017
PALESTINA,ESTACION PALESTINA,7,JULIO,258.9362088,1285.84,2.96,222.6779303,206.92,1282.88,2017
PALESTINA,ESTACION PALESTINA,8,AGOSTO,355.9106706,1427.73,2.96,294.6853972,277.86,1424.77,2017
